username,created_at,lng,lat,text,,,,,,
Muralik74391699, Wed Jan 27 01:54:42 +0000 2021,80.465542,16.35015, https://t.co/EcgEPWS7zS ,,,,,,
ushrit2020, Wed Jan 27 01:54:43 +0000 2021,77.558448,12.923115, @i_the_indian_ One, he is a former IAC-ian. Two, he is a former AAP-ian. Three, he too has a beard. What else should one expect of him? ,,,
pradeep92087065, Wed Jan 27 01:54:43 +0000 2021,80.346063,26.405874, @Dr_Uditraj @INCIndia भौंकने में क्या हर्ज है भौंक ,,,,,,
SAMIPTH76028063, Wed Jan 27 01:54:43 +0000 2021,84.13302,28.39085, How to unlove the someone whom I love the most ? ,,,,,,
Be_Debasis, Wed Jan 27 01:54:47 +0000 2021,84.440852,20.188653, @OrtelComm No I want a permanent disconnection ,,,,,,
sanjaygobind, Wed Jan 27 01:54:48 +0000 2021,72.874244,19.17414, और ठीक इसके उल्टा पुलिस यही काम करती तो क्या होता ?गद्दारों को मरने में हीं भलाई है ! ,,,,,,
ArjunGanj, Wed Jan 27 01:54:48 +0000 2021,80.764796,15.893908, 81) మల్లాది విష్ణు పేరు ఉన్న bar ని సొంత వారి కోసం మధ్యం వలన చనిపోయిన కుట్ర లో నిందితులని కాపాడటం82) స్వప్రయోజనాల… https://t.co/dA8X91rxDh ,,,,,,
IshuMDK, Wed Jan 27 01:54:53 +0000 2021,80.764654,7.878661, සුභ  උදෑසනක් නීරොගීමත් දවසක්..... .ඉස්සරකාලේ පොටෝවක් හම්බවුණා... 😊😁💚 https://t.co/WfZyGRvlXL ,,,,,,
itsrajesh__, Wed Jan 27 01:54:53 +0000 2021,86.717556,21.922453, ମୁଁ ମାେ  ଉପରେ ବିଶ୍ୱାସ କରିପାରୁନାହିଁଆଜି ଅଛି କାଲି କିି ଥିବି କି ନାହିଁଆଉ କାହା କଥା କୁ କେମିତି ବିଶ୍ବାସ କରିନେବି👉ଶୁଭସକାଳ👈🙏… https://t.co/fuJCdE0iOs ,,,,,,
Amankum25715450, Wed Jan 27 01:54:55 +0000 2021,86.520786,25.22269, @AnchorDeepika 😍😍👌👌 ,,,,,,
AnsariirfanAns6, Wed Jan 27 01:54:55 +0000 2021,72.874244,19.17414, @izha_malik Walequmassalam 🌷 ,,,,,,
AkkiRaaj5, Wed Jan 27 01:54:57 +0000 2021,85.385683,23.360435, Message is clear no progress or reforms will be allowed to us, terrorism will decide the fate of this nation, not i… https://t.co/ZHKgVh4BQI ,,,,
iamkhan_zafar, Wed Jan 27 01:54:59 +0000 2021,86.25,20.7667, Just posted a photo @ Bramhabarada, Orissa, India https://t.co/sVo7MXzOb5 ,,,,
Sankaralagusund, Wed Jan 27 01:55:00 +0000 2021,78.289703,10.81879, @PeterAlphonse7 Violence by BJP volunteers... ,,,,,,
ajaysingh0018, Wed Jan 27 01:55:08 +0000 2021,77.404476,23.272495, जय श्री गुरूवर चरण वन्दन ,,,,,,
MoMubeen313, Wed Jan 27 01:55:09 +0000 2021,73.094598,19.363333, Excited already https://t.co/rW682fWv0Q ,,,,,,
IA3HbYf92bsj3Q1, Wed Jan 27 01:55:12 +0000 2021,79.646887,21.171515, I am agree with sudhir chaudhary sir..#KisanoKaGUNtantra ,,,,,,
HanamantGaniger, Wed Jan 27 01:55:14 +0000 2021,75.644071,15.984488, @ShakunthalaHS happy birthday 💐 sister ,,,,,,
