username,created_at,lng,lat,text,,,,
SHRIYUTSHANDIL1, Tue Jan 26 21:02:06 +0000 2021,82.932955,25.373376, https://t.co/uyn7Mn3O7Aसांडपत्ति नहीं करो गुरुकढ़ा देखो.. काँचा सी नैना नु फाड़ केख़ालिस्तानी लिखा है..कुत्तों… https://t.co/Yj5eegtqga ,,,,
tanzeel_azam, Tue Jan 26 21:02:09 +0000 2021,67.042194,24.905076, @SyedaSays__ Sahi fermaya ,,,,
GRV8532823232, Tue Jan 26 21:02:18 +0000 2021,79.507652,26.46399, इन भिंडरवाला की औलादों को अगर अभी सबक नहीं सिखाया @AmitShah @narendramodi @DelhiPolice तो हर कानून के बाद एक आन्दोल… https://t.co/kPsZFrtU0t ,,,,
shreyansh_bwr, Tue Jan 26 21:02:21 +0000 2021,74.308757,25.947998, @parashar_com @ashishsood_bjp Vimal ji try the Masks by MASK ON These are the most comfortable anti fog mask, you… https://t.co/20TCh5stTf ,,,
ahsaan_wajid, Tue Jan 26 21:02:22 +0000 2021,67.042194,24.905076, 😭 https://t.co/aSSpmj9nmI ,,,,
finepatriot1, Tue Jan 26 21:02:25 +0000 2021,85.853412,20.249108, This man and Rakesh Tikait should be immediately arrested and put in police custody. ,,,,
RAMACHA24314095, Tue Jan 26 21:02:26 +0000 2021,78.1131,9.9251, Just posted a photo @ Madurai, India https://t.co/Uq21X5QQWP ,,,
mazharmianwali, Tue Jan 26 21:02:28 +0000 2021,67.01,24.86, What is this place.یہ کونسی جگہ ہے @ Karachi, Pakistan https://t.co/GNG0hNWqpE ,,,
chetanshendge, Tue Jan 26 21:02:39 +0000 2021,73.884382,18.520764, @Anuj_Speaks27 @Nilesh_P_Z @Am_here_DURGA @MJ__Speaks @SahilVastad 👌👌👌👍👍🙏🙏 ,,,,
BsMahadev2, Tue Jan 26 21:02:40 +0000 2021,85.102038,25.569474, @SHIFUJIJAIHIND जिस तिरंगे को आज एक सरदार ने नाले मे फेका है उसी तिरंगे के लिए एक सरदार ( भगत सिंह ) फांसी पर चढ़… https://t.co/b9iEEzQ7U2 ,,,,
zEsHan_xafar, Tue Jan 26 21:02:40 +0000 2021,67.042194,24.905076, #BesHak 🧡🖤 https://t.co/7OcV5wnQjF ,,,,
DasRaju76, Tue Jan 26 21:02:49 +0000 2021,72.874244,19.17414, @Mjnidhi 💥💥💥💥💥💥💥💥💥💥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 ,,,,
GovandiCell, Tue Jan 26 21:02:51 +0000 2021,72.874244,19.17414, Actually the corruption is involved here since @mybmc not taking action on such illegal tower which spread Radiatio… https://t.co/8qsJQAa0d1 ,,,,
Chakradhar2311, Tue Jan 26 21:03:07 +0000 2021,85.853412,20.249108, Execute these #traitors publicly ! ,,,,
RohailBme, Tue Jan 26 21:03:18 +0000 2021,68.889159,26.116357, سندھ کے وزیراعلی سے جواب مانگنے والوں کو اس ناحق جبری قتل کا جواب دینا ہوگا، عمران نشئی سلیکیٹڈ نااہل نالائق باندر… https://t.co/XeAli1wszX ,,,,
imranpathanzai, Tue Jan 26 21:03:18 +0000 2021,68.358871,25.375386, حیدرآباد میں 9فروری کو پی ڈی ایم کے تحت ہونے والے جلسے کی بھرپور تیاری جاری ہیں انشاءاللہ اپنے محبوب قائد بلال بھ… https://t.co/5cuqdmcUi9 ,,,,
shreyansh_bwr, Tue Jan 26 21:03:21 +0000 2021,74.308757,25.947998, @GouravM59522882 @ashishsood_bjp Gourav try the Masks by MASK ON These are the most comfortable anti fog mask, you… https://t.co/U9Xu7yevrE ,,,
RealtyNetworks, Tue Jan 26 21:03:29 +0000 2021,67.042194,24.905076, @vijayat003 Neither You Do Your Research Or Homework Nor You Prepared Your Questions Properly &amp; You Accused… https://t.co/lFXyAcSF3x ,,,,
mazharmianwali, Tue Jan 26 21:03:31 +0000 2021,67.01,24.86, What is this place.یہ کونسی جگہ ہے @ Karachi, Pakistan https://t.co/rzcvNEWyh8 ,,,
deepas666, Tue Jan 26 21:03:34 +0000 2021,79.515566,11.973499, @HRajaBJP Konja naal la odi oliya poraa nee paesu ma raja paesu🤣🤣🤣 ,,,,
BhayaLal, Tue Jan 26 21:03:40 +0000 2021,73.192355,19.270371," ऐसा लगता है ""सुप्रीम कोर्ट"" सिर्फ़ मुसलमानों", आतंकवादियों और कांग्रेस के लिए काम करने वाली संस्था है... जिसका हर स… https://t.co/UdEuoeejXo ,,,
Mameyyyy, Tue Jan 26 21:03:52 +0000 2021,73.226307,3.201397, @dervisione @OfficialFPL Balls of diamond. ,,,,
mazharmianwali, Tue Jan 26 21:03:52 +0000 2021,67.01,24.86, What is this place.یہ کونسی جگہ ہے @ Karachi, Pakistan https://t.co/ta4LNcsri0 ,,,
ahsaan_wajid, Tue Jan 26 21:03:53 +0000 2021,67.042194,24.905076," @thatssoshannen ""And There goes me lighting up my cigarette"" ",,,,
wasiakram3, Tue Jan 26 21:04:13 +0000 2021,86.480556,22.614012, @pinkichaubey इतनी महंगाई में कौन इस्तीफा देता, ,,,
shreyansh_bwr, Tue Jan 26 21:04:24 +0000 2021,74.308757,25.947998, @bhushan_S_upca @ashishsood_bjp Bhushan ji try the Masks by MASK ON These are the most comfortable anti fog mask,… https://t.co/6QpOYQuMl3 ,,,
BigeyBrow, Tue Jan 26 21:04:29 +0000 2021,73.226307,3.201397, 😂😋 ,,,,
SHRIYUTSHANDIL1, Tue Jan 26 21:04:32 +0000 2021,82.932955,25.373376, @arslank77 @MajorPoonia चरस फूंके हो का भईया /?कम से कम भारतीय सेना को तो मत बांटोऐसा कुछ नहीं है.. की सिख निकल… https://t.co/h2OlQQXah0 ,,,,
shailesh143love, Tue Jan 26 21:04:37 +0000 2021,71.291372,22.414713, Wo ruthe is kadar ki manaya na gayaDurr itne ho gye ki pas bulaya na gyaDil to dil tha samundar ka sahil nahinLi… https://t.co/KijW7iloox ,,,,
Sandeepawasth16, Tue Jan 26 21:04:37 +0000 2021,80.867555,27.139758, #KisanoKaGUNtantra ,,,,
RaghunathDad, Tue Jan 26 21:04:42 +0000 2021,87.714116,21.890379, @ndtv https://t.co/25ah4qJQkk ,,,,
Mustajab_zaidi, Tue Jan 26 21:04:48 +0000 2021,67.071986,24.879285, I'm glad to have a picture with you sir 😂 @ALIHAIDERFCMA  celebrity ❤ https://t.co/AknmklzrUb ,,,,
KulamaniMishra7, Tue Jan 26 21:04:53 +0000 2021,84.776941,22.245946, Sukhpreet ji my regards for your thoughts. ,,,,
zephyrzealot, Tue Jan 26 21:04:59 +0000 2021,67.042194,24.905076, Consensus is that im more masi and maili than i was 8 years ago. I h8 u awl :-) https://t.co/JGEu5kjqmI ,,,,
GovandiCell, Tue Jan 26 21:05:04 +0000 2021,72.874244,19.17414, @mybmc @MumbaiPolice @AndFootpath @gallinews @mybmcRoads @mybmcWardME @QuintMyReport @mybmcBridges @mayor_mumbai… https://t.co/JUcKFzIJXO ,,,,
tahsinfatima9, Tue Jan 26 21:05:06 +0000 2021,68.889159,26.116357, انکی ہمت کو سلام ,,,,
AdityaS96869575, Tue Jan 26 21:05:15 +0000 2021,80.346063,26.405874, कभी नहीं.. जिन्होंने ऐसा किया वह सब गुंडे आतंकी थे ,,,,
shailesh143love, Tue Jan 26 21:05:21 +0000 2021,71.291372,22.414713, Tuta hua phool khusbu de jata hai,Bita hua pal yaaden de jata hai,Har shakhs ka apna andaz hota hai,Koi zindgi m… https://t.co/6qaFH9RQek ,
BhagwanBishnoi7, Tue Jan 26 21:05:38 +0000 2021,73.87756,26.628415, Hii ,,,,
exuberant_guy, Tue Jan 26 21:05:51 +0000 2021,82.57378,18.862738, @barcacentre That's good news ! ,,,,
shailesh143love, Tue Jan 26 21:05:56 +0000 2021,71.291372,22.414713, वो पत्थर कहाँ मिलेंगे दोस्तों   जिसे लोग दिल पर रख कर एक दूसरे को भूल जाते हैं।Shailesh parmar ,,,,
exuberant_guy, Tue Jan 26 21:06:06 +0000 2021,82.57378,18.862738, @goal New Coach. New Future. ,,,,
